song,text,Streams,Artist,Artist Followers,Genre,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
,,"48,633,449",Måneskin,3377762,"['indie rock italiano', 'italian pop']",1,8,2021-07-23--2021-07-30,2017-12-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589,B
,,"47,248,719",The Kid LAROI,2230022,['australian hip hop'],2,3,2021-07-23--2021-07-30,2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478,C#/Db
,,"40,162,559",Olivia Rodrigo,6266514,['pop'],1,11,2021-06-25--2021-07-02,2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688,A
,,"37,799,456",Ed Sheeran,83293380,"['pop', 'uk pop']",3,5,2021-07-02--2021-07-09,2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591,B
,,"33,948,454",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",5,1,2021-07-23--2021-07-30,2021-07-23,2021-07-23--2021-07-30,96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894,D#/Eb
,,"30,071,134",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",1,18,2021-05-07--2021-05-14,2021-03-31,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02",97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758,G#/Ab
,,"29,356,736",Doja Cat,8640063,"['dance pop', 'pop']",3,16,2021-05-14--2021-05-21,2021-04-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742,G#/Ab
,,"26,951,613",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']",2,10,2021-06-18--2021-06-25,2021-05-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342,D#/Eb
,,"25,030,128",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",3,8,2021-06-18--2021-06-25,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44,C#/Db
,,"24,551,591",Måneskin,3377762,"['indie rock italiano', 'italian pop']",8,10,2021-07-02--2021-07-09,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958,C#/Db
,,"23,518,010",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",4,43,2021-05-07--2021-05-14,2020-10-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,F#/Gb
,,"22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",9,9,2021-07-02--2021-07-09,2021-05-28,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768,G#/Ab
,,"22,062,812",BTS,37106176,"['k-pop', 'k-pop boy group']",5,3,2021-07-09--2021-07-16,2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646,A
,,"20,294,457",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",1,19,2021-04-02--2021-04-09,2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26",94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464,C
,,"19,985,713",BTS,37106176,"['k-pop', 'k-pop boy group']",2,10,2021-05-21--2021-05-28,2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695,G#/Ab
,,"19,480,679",Olivia Rodrigo,6266514,['pop'],7,10,2021-05-21--2021-05-28,2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",94,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227,0.0849,D#/Eb
,,"18,571,755",Olivia Rodrigo,6266514,['pop'],3,17,2021-05-21--2021-05-28,2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09",93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178,D
,,"18,053,141",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",5,14,2021-04-23--2021-04-30,2021-04-23,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593,C
,,"17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734,"['latin', 'reggaeton', 'trap latino']",14,5,2021-07-02--2021-07-09,2021-06-24,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",93,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335,0.785,F#/Gb
,,"16,908,917",Doja Cat,8640063,"['dance pop', 'pop']",20,7,2021-07-23--2021-07-30,2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18",90,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560,0.194,C#/Db
,,"16,606,925","Mora, Bad Bunny, Sech",151486,"['reggaeton', 'trap latino']",19,3,2021-07-16--2021-07-23,2021-07-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632,F#/Gb
,,"16,126,897",Doja Cat,8640063,"['dance pop', 'pop']",22,5,2021-07-23--2021-07-30,2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253,0.619,D#/Eb
,,"15,684,978",Olivia Rodrigo,6266514,['pop'],1,29,2021-03-12--2021-03-19,2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137,A#/Bb
,,"15,089,184",Glass Animals,1890510,"['gauze pop', 'indietronica', 'shiver pop']",24,31,2021-07-23--2021-07-30,2020-08-07,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01",85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531,B
