Year,Employer,Role,Count Male,Count Female,Count Total,Min Salary,Max Salary,Average Male Salary,Average Female Salary
1946,Net System Inc (NSI),Computer Operator,461,1,462,55142.68,1206529.74,183022.59,124912.92
1946,Net System Inc (NSI),Systems Analyst,143,2,145,61276.62,1326041.1,146559.86,100027.1
1948,Cyber Digital Corp,Computer Operator,41,2,43,31191.83,1079673.1,143556.54,96900.66
1948,Cyber Digital Corp,Systems Analyst,457,11,468,34395.72,1279701.95,154640.53,104382.36
1948,Virtual Institute LLC,Computer Operator,427,16,443,40959.56,1234605.8,89319.47,60290.64
1948,Virtual Institute LLC,Systems Analyst,126,6,132,63587.03,1248991.68,186429.92,125840.2
1948,Department Advanced,Computer Operator,28,4,32,48750.9,775585.8,141149.54,95275.94
1948,Department Advanced,Systems Analyst,142,11,153,35353.67,983435.48,82478.47,55672.97
1948,Net System Inc (NSI),Computer Operator,276,7,283,31532.39,1109679.72,125197.05,84508.01
1948,Net System Inc (NSI),Systems Analyst,108,16,124,33284.57,827798.14,197891.06,133576.47
1950,Cyber Digital Corp,Computer Operator,197,8,205,51914.8,1242452.67,155808.53,104002.19
1950,Cyber Digital Corp,Systems Analyst,426,12,438,44948.03,977424.41,159359.6,106372.53
1950,Virtual Institute LLC,Computer Operator,192,3,195,42412.43,966615.88,161739.03,107960.8
1950,Virtual Institute LLC,Systems Analyst,434,9,443,47845.85,1101807.08,148637.42,99215.48
1950,Department Advanced,Computer Operator,312,17,329,49583.23,1287165.04,104192.49,69548.49
1950,Department Advanced,Systems Analyst,362,11,373,58393.95,1027755.52,114358.22,76334.11
1950,Net System Inc (NSI),Computer Operator,489,17,506,41457.42,1201778.03,125203.83,83573.56
1950,Net System Inc (NSI),Systems Analyst,355,5,360,68487.61,1044477.21,141925.53,94735.29
1952,Cyber Digital Corp,Computer Operator,460,3,463,62191.72,1095461.52,159756.9,105439.55
1952,Cyber Digital Corp,Systems Analyst,308,7,315,32091.12,1119887.94,193675.65,127825.93
1952,Virtual Institute LLC,Computer Operator,341,7,348,42011.97,1109805.25,119922.01,79148.53
1952,Virtual Institute LLC,Systems Analyst,317,13,330,35592.81,908330.26,83991.97,55434.7
1952,Department Advanced,Computer Operator,470,13,483,35778.36,716739.71,94281.62,62225.87
1952,Department Advanced,Systems Analyst,317,9,326,44184.81,906344.67,135301.04,89298.69
1952,Net System Inc (NSI),Computer Operator,450,8,458,48548.24,1010463.79,95704.43,63164.92
1952,Net System Inc (NSI),Systems Analyst,36,15,51,69456.73,962093.12,178086.31,117536.96
1954,Cyber Digital Corp,Computer Operator,361,17,378,60575.0,948588.38,121331.13,79168.56
1954,Cyber Digital Corp,Systems Analyst,318,13,331,32147.63,1107469.08,119519.32,77986.36
1954,Virtual Institute LLC,Computer Operator,132,14,146,40072.83,902259.5,198782.73,129705.73
1954,Virtual Institute LLC,Systems Analyst,109,3,112,31033.59,1078310.6,80402.26,52462.47
1954,Department Advanced,Computer Operator,387,17,404,50228.65,1136022.63,96421.47,62915.01
1954,Department Advanced,Systems Analyst,236,11,247,69583.32,773928.65,199740.26,130330.52
1954,Net System Inc (NSI),Computer Operator,381,13,394,67082.88,907445.42,106172.08,69277.28
1954,Net System Inc (NSI),Systems Analyst,84,5,89,51657.38,548346.44,177628.91,115902.86
1956,Cyber Digital Corp,Computer Operator,200,2,202,44891.29,1022152.6,90857.09,58602.82
1956,Cyber Digital Corp,Systems Analyst,483,8,491,61042.16,1064687.25,80062.74,51640.47
1956,Virtual Institute LLC,Computer Operator,113,16,129,38946.27,905922.41,119005.81,76758.75
1956,Virtual Institute LLC,Systems Analyst,484,16,500,50576.84,873263.63,100628.01,64905.07
1956,Department Advanced,Computer Operator,450,2,452,57749.32,1047522.88,136964.78,88342.28
1956,Department Advanced,Systems Analyst,63,6,69,51196.43,811811.61,117861.76,76020.84
1956,Net System Inc (NSI),Computer Operator,259,4,263,36712.91,1048783.38,195530.91,126117.44
1956,Net System Inc (NSI),Systems Analyst,286,4,290,45575.88,587551.92,195645.56,126191.39
1956,Institute Agency,Computer Operator,39,2,41,61344.87,892155.72,154930.18,99929.97
1956,Institute Agency,Systems Analyst,227,1,228,39060.76,860283.36,140742.48,90778.9
1956,Group Technologies Inc (GTI),Computer Operator,323,14,337,65908.17,991016.01,195369.2,126013.13
1956,Group Technologies Inc (GTI),Systems Analyst,294,19,313,49482.43,1066117.22,147938.43,95420.29
1958,Cyber Digital Corp,Computer Operator,366,2,368,43461.33,729213.4,102669.57,65451.85
1958,Cyber Digital Corp,Systems Analyst,498,12,510,51831.28,820830.59,148792.01,94854.91
1958,Virtual Institute LLC,Computer Operator,122,5,127,30289.63,946240.09,125283.2,79868.04
1958,Virtual Institute LLC,Systems Analyst,480,15,495,36562.58,564342.11,84535.69,53891.5
1958,Space Laboratory (SL),Computer Operator,76,8,84,56381.4,918389.8,162270.7,103447.57
