Year,Employer,Role,Count Male,Count Female,Min Salary,Max Salary,Median Male Salary,Count Total,Adjusted Wage Gap,Median Female Salary
1946,Net System Inc (NSI),Computer Operator,461.0,1.0,55142.68,1206529.74,183022.59,462.0,0.3175,124912.917675
1946,Net System Inc (NSI),Systems Analyst,143.0,2.0,61276.62,1326041.1,146559.86,145.0,0.3175,100027.10444999998
1948,Cyber Digital Corp,Computer Operator,41.0,2.0,31191.83,1079673.1,143556.54,43.0,0.325,96900.6645
1948,Cyber Digital Corp,Systems Analyst,457.0,11.0,34395.72,1279701.95,154640.53,468.0,0.325,104382.35775
1948,Virtual Institute LLC,Computer Operator,427.0,16.0,40959.56,1234605.8,89319.47,443.0,0.325,60290.64225
1948,Virtual Institute LLC,Systems Analyst,126.0,6.0,63587.03,1248991.68,186429.92,132.0,0.325,125840.196
1948,Department Advanced,Computer Operator,28.0,4.0,48750.9,775585.8,141149.54,32.0,0.325,95275.9395
1948,Department Advanced,Systems Analyst,142.0,11.0,35353.67,983435.48,82478.47,153.0,0.325,55672.96725
1948,Net System Inc (NSI),Computer Operator,276.0,7.0,31532.39,1109679.72,125197.05,283.0,0.325,84508.00875000001
1948,Net System Inc (NSI),Systems Analyst,108.0,16.0,33284.57,827798.14,197891.06,124.0,0.325,133576.46550000002
1950,Cyber Digital Corp,Computer Operator,197.0,8.0,51914.8,1242452.67,155808.53,205.0,0.3325,104002.193775
1950,Cyber Digital Corp,Systems Analyst,426.0,12.0,44948.03,977424.41,159359.6,438.0,0.3325,106372.533
1950,Virtual Institute LLC,Computer Operator,192.0,3.0,42412.43,966615.88,161739.03,195.0,0.3325,107960.802525
1950,Virtual Institute LLC,Systems Analyst,434.0,9.0,47845.85,1101807.08,148637.42,443.0,0.3325,99215.47785
1950,Department Advanced,Computer Operator,312.0,17.0,49583.23,1287165.04,104192.49,329.0,0.3325,69548.48708
1950,Department Advanced,Systems Analyst,362.0,11.0,58393.95,1027755.52,114358.22,373.0,0.3325,76334.11185
1950,Net System Inc (NSI),Computer Operator,489.0,17.0,41457.42,1201778.03,125203.83,506.0,0.3325,83573.55652499999
1950,Net System Inc (NSI),Systems Analyst,355.0,5.0,68487.61,1044477.21,141925.53,360.0,0.3325,94735.29128
1952,Cyber Digital Corp,Computer Operator,460.0,3.0,62191.72,1095461.52,159756.9,463.0,0.3399999999999999,105439.554
1952,Cyber Digital Corp,Systems Analyst,308.0,7.0,32091.12,1119887.94,193675.65,315.0,0.3399999999999999,127825.929
1952,Virtual Institute LLC,Computer Operator,341.0,7.0,42011.97,1109805.25,119922.01,348.0,0.3399999999999999,79148.5266
1952,Virtual Institute LLC,Systems Analyst,317.0,13.0,35592.81,908330.26,83991.97,330.0,0.3399999999999999,55434.70020000001
1952,Department Advanced,Computer Operator,470.0,13.0,35778.36,716739.71,94281.62,483.0,0.3399999999999999,62225.8692
1952,Department Advanced,Systems Analyst,317.0,9.0,44184.81,906344.67,135301.04,326.0,0.3399999999999999,89298.6864
1952,Net System Inc (NSI),Computer Operator,450.0,8.0,48548.24,1010463.79,95704.43,458.0,0.3399999999999999,63164.9238
