Year,Employer,Role,Count Male,Count Female,Min Salary,Max Salary,Median Male Salary,Median Female Salary
1946,Net System Inc (NSI),Computer Operator,461,1,55142.68,1206529.74,183022.59,747769.81
1946,Net System Inc (NSI),Systems Analyst,143,2,61276.62,1326041.1,146559.86,792541.17
1948,Cyber Digital Corp,Computer Operator,41,2,31191.83,1079673.1,143556.54,930463.84
1948,Cyber Digital Corp,Systems Analyst,457,11,34395.72,1279701.95,154640.53,742615.32
1948,Virtual Institute LLC,Computer Operator,427,16,40959.56,1234605.8,89319.47,718559.42
1948,Virtual Institute LLC,Systems Analyst,126,6,63587.03,1248991.68,186429.92,1119973.78
1948,Department Advanced,Computer Operator,28,4,48750.9,775585.8,141149.54,693940.67
1948,Department Advanced,Systems Analyst,142,11,35353.67,983435.48,82478.47,766998.53
1948,Net System Inc (NSI),Computer Operator,276,7,31532.39,1109679.72,125197.05,951415.02
1948,Net System Inc (NSI),Systems Analyst,108,16,33284.57,827798.14,197891.06,712433.49
1950,Cyber Digital Corp,Computer Operator,197,8,51914.8,1242452.67,155808.53,944395.63
1950,Cyber Digital Corp,Systems Analyst,426,12,44948.03,977424.41,159359.6,869895.43
1950,Virtual Institute LLC,Computer Operator,192,3,42412.43,966615.88,161739.03,878048.04
1950,Virtual Institute LLC,Systems Analyst,434,9,47845.85,1101807.08,148637.42,771911.82
1950,Department Advanced,Computer Operator,312,17,49583.23,1287165.04,104192.49,913236.11
1950,Department Advanced,Systems Analyst,362,11,58393.95,1027755.52,114358.22,919731.07
1950,Net System Inc (NSI),Computer Operator,489,17,41457.42,1201778.03,125203.83,766534.67
1950,Net System Inc (NSI),Systems Analyst,355,5,68487.61,1044477.21,141925.53,639583.32
1952,Cyber Digital Corp,Computer Operator,460,3,62191.72,1095461.52,159756.9,945829.85
1952,Cyber Digital Corp,Systems Analyst,308,7,32091.12,1119887.94,193675.65,533219.99
1952,Virtual Institute LLC,Computer Operator,341,7,42011.97,1109805.25,119922.01,1040158.42
1952,Virtual Institute LLC,Systems Analyst,317,13,35592.81,908330.26,83991.97,788203.98
1952,Department Advanced,Computer Operator,470,13,35778.36,716739.71,94281.62,640225.25
1952,Department Advanced,Systems Analyst,317,9,44184.81,906344.67,135301.04,801961.06
1952,Net System Inc (NSI),Computer Operator,450,8,48548.24,1010463.79,95704.43,971612.74
1952,Net System Inc (NSI),Systems Analyst,36,15,69456.73,962093.12,178086.31,810067.94
1954,Cyber Digital Corp,Computer Operator,361,17,60575.0,948588.38,121331.13,729531.76
1954,Cyber Digital Corp,Systems Analyst,318,13,32147.63,1107469.08,119519.32,897557.91
1954,Virtual Institute LLC,Computer Operator,132,14,40072.83,902259.5,198782.73,644575.92
1954,Virtual Institute LLC,Systems Analyst,109,3,31033.59,1078310.6,80402.26,986002.86
