company,job_category,gender,count
Clark Ltd,Administrative support,female,41
Clark Ltd,Administrative support,male,5
Clark Ltd,Craft workers,female,0
Clark Ltd,Craft workers,male,0
Clark Ltd,Executives,female,8
Clark Ltd,Executives,male,9
Clark Ltd,Managers,female,29
Clark Ltd,Managers,male,36
Clark Ltd,Previous_totals,female,0
Clark Ltd,Previous_totals,male,0
Clark Ltd,Professionals,female,71
Clark Ltd,Professionals,male,98
Clark Ltd,Sales workers,female,0
Clark Ltd,Sales workers,male,0
Clark Ltd,Service workers,female,0
Clark Ltd,Service workers,male,0
Clark Ltd,Technicians,female,0
Clark Ltd,Technicians,male,0
Clark Ltd,Totals,female,149
Clark Ltd,Totals,male,148
Clark Ltd,laborers and helpers,female,0
Clark Ltd,laborers and helpers,male,0
Clark Ltd,operatives,female,0
Clark Ltd,operatives,male,0
"Collins, Smith and Stanton",Administrative support,female,200
"Collins, Smith and Stanton",Administrative support,male,123
"Collins, Smith and Stanton",Craft workers,female,0
"Collins, Smith and Stanton",Craft workers,male,0
"Collins, Smith and Stanton",Executives,female,18
"Collins, Smith and Stanton",Executives,male,75
"Collins, Smith and Stanton",Managers,female,850
"Collins, Smith and Stanton",Managers,male,1598
"Collins, Smith and Stanton",Previous_totals,female,2055
"Collins, Smith and Stanton",Previous_totals,male,4526
"Collins, Smith and Stanton",Professionals,female,893
"Collins, Smith and Stanton",Professionals,male,2135
"Collins, Smith and Stanton",Sales workers,female,342
"Collins, Smith and Stanton",Sales workers,male,928
"Collins, Smith and Stanton",Service workers,female,0
"Collins, Smith and Stanton",Service workers,male,0
"Collins, Smith and Stanton",Technicians,female,0
"Collins, Smith and Stanton",Technicians,male,0
"Collins, Smith and Stanton",Totals,female,2303
"Collins, Smith and Stanton",Totals,male,4859
"Collins, Smith and Stanton",laborers and helpers,female,0
"Collins, Smith and Stanton",laborers and helpers,male,0
"Collins, Smith and Stanton",operatives,female,0
"Collins, Smith and Stanton",operatives,male,0
Airbnb,Administrative support,female,196
Airbnb,Administrative support,male,139
Airbnb,Craft workers,female,0
Airbnb,Craft workers,male,0
Airbnb,Executives,female,29
Airbnb,Executives,male,68
Airbnb,Managers,female,130
Airbnb,Managers,male,165
Airbnb,Previous_totals,female,648
Airbnb,Previous_totals,male,753
Airbnb,Professionals,female,445
Airbnb,Professionals,male,690
Airbnb,Sales workers,female,0
Airbnb,Sales workers,male,0
Airbnb,Service workers,female,19
Airbnb,Service workers,male,30
Airbnb,Technicians,female,3
Airbnb,Technicians,male,3
Airbnb,Totals,female,822
Airbnb,Totals,male,1095
Airbnb,laborers and helpers,female,0
Airbnb,laborers and helpers,male,0
Airbnb,operatives,female,0
Airbnb,operatives,male,0
Apple,Administrative support,female,3489
Apple,Administrative support,male,3398
Apple,Craft workers,female,1
Apple,Craft workers,male,84
Apple,Executives,female,20
Apple,Executives,male,87
Apple,Managers,female,2250
Apple,Managers,male,5955
Apple,Previous_totals,female,21751
Apple,Previous_totals,male,50743
Apple,Professionals,female,5907
Apple,Professionals,male,17293
Apple,Sales workers,female,6830
Apple,Sales workers,male,14485
Apple,Service workers,female,154
Apple,Service workers,male,264
Apple,Technicians,female,5085
Apple,Technicians,male,11890
Apple,Totals,female,23736
Apple,Totals,male,53456
Apple,laborers and helpers,female,0
Apple,laborers and helpers,male,0
Apple,operatives,female,0
Apple,operatives,male,0
Cisco,Administrative support,female,491
Cisco,Administrative support,male,99
Cisco,Craft workers,female,0
Cisco,Craft workers,male,0
Cisco,Executives,female,63
Cisco,Executives,male,244
Cisco,Managers,female,1279
Cisco,Managers,male,4330
Cisco,Previous_totals,female,9425
Cisco,Previous_totals,male,26889
Cisco,Professionals,female,6932
Cisco,Professionals,male,19729
Cisco,Sales workers,female,1067
Cisco,Sales workers,male,3245
Cisco,Service workers,female,0
Cisco,Service workers,male,0
Cisco,Technicians,female,11
Cisco,Technicians,male,21
Cisco,Totals,female,9845
Cisco,Totals,male,27681
Cisco,laborers and helpers,female,0
Cisco,laborers and helpers,male,0
Cisco,operatives,female,2
Cisco,operatives,male,13
Facebook,Administrative support,female,275
Facebook,Administrative support,male,13
Facebook,Craft workers,female,4
Facebook,Craft workers,male,49
Facebook,Executives,female,139
Facebook,Executives,male,357
Facebook,Managers,female,499
Facebook,Managers,male,1116
Facebook,Previous_totals,female,2529
Facebook,Previous_totals,male,5917
Facebook,Professionals,female,2382
Facebook,Professionals,male,5729
Facebook,Sales workers,female,225
Facebook,Sales workers,male,228
Facebook,Service workers,female,23
Facebook,Service workers,male,55
Facebook,Technicians,female,18
Facebook,Technicians,male,129
Facebook,Totals,female,3565
Facebook,Totals,male,7676
Facebook,laborers and helpers,female,0
Facebook,laborers and helpers,male,0
Facebook,operatives,female,0
Facebook,operatives,male,0
Google,Administrative support,female,681
Google,Administrative support,male,132
Google,Craft workers,female,0
Google,Craft workers,male,0
Google,Executives,female,4
Google,Executives,male,27
Google,Managers,female,3965
Google,Managers,male,6768
Google,Previous_totals,female,11151
Google,Previous_totals,male,27520
Google,Professionals,female,7653
Google,Professionals,male,24439
Google,Sales workers,female,1148
Google,Sales workers,male,1090
Google,Service workers,female,103
Google,Service workers,male,190
Google,Technicians,female,86
Google,Technicians,male,474
Google,Totals,female,13640
Google,Totals,male,33120
Google,laborers and helpers,female,0
Google,laborers and helpers,male,0
Google,operatives,female,0
Google,operatives,male,0
HP Inc.,Administrative support,female,399
HP Inc.,Administrative support,male,151
HP Inc.,Craft workers,female,0
HP Inc.,Craft workers,male,0
HP Inc.,Executives,female,52
HP Inc.,Executives,male,158
HP Inc.,Managers,female,560
HP Inc.,Managers,male,1389
HP Inc.,Previous_totals,female,23801
HP Inc.,Previous_totals,male,48350
HP Inc.,Professionals,female,2447
HP Inc.,Professionals,male,4848
HP Inc.,Sales workers,female,486
HP Inc.,Sales workers,male,1100
HP Inc.,Service workers,female,0
HP Inc.,Service workers,male,0
HP Inc.,Technicians,female,270
